연령대,직업 유형,선케어 제품을 사용하는 상황,선케어 제품 사용 빈도,선케어 제품 사용 시 불편한 점,선케어 제품 구매 시 중요하게 생각하는 요소,톤업 선크림에 대한 의견,톤업 선크림 사용 경험,톤업 선크림을 사용하는 이유,톤업 선크림을 주로 사용하는 상황,톤업 선크림을 사용하지 않는 이유,어느 정도의 톤업 효과까지 허용,어떤 경우 톤업 선크림을 사용할 의향,뷰티 제품을 구매하는 곳,뷰티 제품 정보를 얻는 곳,신뢰하는 정보 출처,헤라 인지 여부,헤라 브랜드 이미지
35세 - 39세,사무직 (일반 기업/공기업/공공기관 등),외출 시 (일상),거의 매일 사용,백탁현상,"브랜드 신뢰도, 성분 안정성",피부를 자연스럽게 정리해주는 제품,현재 사용 중,자연스럽게 정리된 인상을 주기 위해,출근 / 등교,,피부톤을 밝아지게 하는 정도,"자연스러운 피부 밝기 표현, 발림성이 좋음","올리브영 앱 / 웹사이트, 브랜드 매장 (로드샵 / 백화점)",지인 추천,지인 추천,,
30세 - 34세,영업직 (대면/외근 중심 업무),야외활동 / 여행 시,주 1~2회 사용,끈적임,"발림성 (부드러움), 피부 표현 (톤 보정 등), 끈적임 없음 / 산뜻함",메이크업 제품에 가깝다고 생각,과거 사용 경험 있음,,,사용이 번거로워서,피부톤을 밝아지게 하는 정도,"끈적임 없음 / 빠른 흡수, 피부 트러블이 없음",올리브영 오프라인 매장,지인 추천,실제 사용자 리뷰,,
35세 - 39세,사무직 (일반 기업/공기업/공공기관 등),출근 / 등교 시,거의 매일 사용,번거로움,"피부 표현 (톤 보정 등), 끈적임 없음 / 산뜻함",피부를 자연스럽게 정리해주는 제품,현재 사용 중,자외선 차단과 피부 보정을 동시에 하기 위해,출근 / 등교,,피부 결점을 커버해주는 정도,자연스러운 피부 밝기 표현,"올리브영 오프라인 매장, 브랜드 공식몰",지인 추천,실제 사용자 리뷰,,
30세 - 34세,사무직 (일반 기업/공기업/공공기관 등),출근 / 등교 시,주 3~5회 사용,백탁현상,"발림성 (부드러움), 끈적임 없음 / 산뜻함",피부를 자연스럽게 정리해주는 제품,과거 사용 경험 있음,,,필요성을 느끼지 못해서,피부톤을 밝아지게 하는 정도,"자연스러운 피부 밝기 표현, 발림성이 좋음","올리브영 오프라인 매장, 브랜드 공식몰","SNS (인스타그램, 틱톡 등)",실제 사용자 리뷰,,
30세 - 34세,사무직 (일반 기업/공기업/공공기관 등),사용하지 않음,거의 사용하지 않음,끈적임,"발림성 (부드러움), 끈적임 없음 / 산뜻함",기능이 애매하다고 생각,사용 경험 없음,,,제품에 대해 잘 몰라서,피부 결점을 커버해주는 정도,피부 트러블이 없음,"올리브영 오프라인 매장, 올리브영 앱 / 웹사이트, 오픈마켓 (쿠팡, 11번가, G마켓 등)",유튜브,전문가 / 유튜버,,
35세 - 39세,사무직 (일반 기업/공기업/공공기관 등),외출 시 (일상),거의 사용하지 않음,피부 트러블 발생,"발림성 (부드러움), 피부 표현 (톤 보정 등), 끈적임 없음 / 산뜻함, 백탁이 없음, 성분 안정성",기능이 애매하다고 생각,과거 사용 경험 있음,,,화장처럼 보일 것 같아서,자연스럽고 깔끔한 인상을 만들어주는 정도 (피부결 정리),"자연스러운 피부 밝기 표현, 끈적임 없음 / 빠른 흡수","올리브영 오프라인 매장, 네이버 쇼핑 / 스마트스토어",유튜브,브랜드 공식 정보,,
35세 - 39세,자영업 / 프리랜서,사용하지 않음,거의 사용하지 않음,끈적임,"끈적임 없음 / 산뜻함, 성분 안정성",피부를 자연스럽게 정리해주는 제품,사용 경험 없음,,,제품에 대해 잘 몰라서,자연스럽고 깔끔한 인상을 만들어주는 정도 (피부결 정리),"발림성이 좋음, 끈적임 없음 / 빠른 흡수","네이버 쇼핑 / 스마트스토어, 오픈마켓 (쿠팡, 11번가, G마켓 등)",리뷰 / 커뮤니티,실제 사용자 리뷰,,
30세 - 34세,사무직 (일반 기업/공기업/공공기관 등),야외활동 / 여행 시,거의 사용하지 않음,끈적임,"발림성 (부드러움), 끈적임 없음 / 산뜻함",기능이 애매하다고 생각,사용 경험 없음,,,자연스럽지 않을 것 같아서,자연스럽고 깔끔한 인상을 만들어주는 정도 (피부결 정리),"자연스러운 피부 밝기 표현, 끈적임 없음 / 빠른 흡수",올리브영 앱 / 웹사이트,리뷰 / 커뮤니티,지인 추천,,
25세 - 29세,사무직 (일반 기업/공기업/공공기관 등),운동 / 레저 활동 시,주 3~5회 사용,백탁현상,백탁이 없음,잘 모르겠다,사용 경험 없음,,,제품에 대해 잘 몰라서,완벽한 피부 화장을 한 것처럼 보이는 정도,"자연스러운 피부 밝기 표현, 피부 트러블이 없음","올리브영 오프라인 매장, 오픈마켓 (쿠팡, 11번가, G마켓 등)",지인 추천,지인 추천,,
25세 - 29세,사무직 (일반 기업/공기업/공공기관 등),외출 시 (일상),주 3~5회 사용,피부 트러블 발생,"발림성 (부드러움), 끈적임 없음 / 산뜻함",피부를 자연스럽게 정리해주는 제품,과거 사용 경험 있음,,,자연스럽지 않을 것 같아서,자연스럽고 깔끔한 인상을 만들어주는 정도 (피부결 정리),"자연스러운 피부 밝기 표현, 끈적임 없음 / 빠른 흡수","네이버 쇼핑 / 스마트스토어, SNS / 라이브커머스","SNS (인스타그램, 틱톡 등)",실제 사용자 리뷰,,
